distortion_name,model_name,orig_label,orig_conf,dist_label,dist_conf,top1_match,confidence_delta,class_changed,param_quality
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.1581311672925949,True,-0.5684071332216263,False,7
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.18515558540821075,False,-0.5413827151060104,True,8
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.3607953190803528,False,-0.3657429814338684,True,9
Сжатие JPEG,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 674,0.3607953190803528,False,-0.3657429814338684,True,9
